COMPLAINT ID,COMPLAINT TYPE,ADDRESS,Neighborhood,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date,LATITUDE,LONGITUDE,LOCATION
DOECOMP9899,Air Pollution Work Order,"2242 W 50TH ST, CHICAGO, IL",Gage Park,2242,,W,50TH,ST,69,05/28/2010,MAXWELL SERVICES                    DUST ALL OVER THE AREA FROM DRILLING. I FOUND EVIDENCE OF CUTTING BRICK WITHOUT WATER SPREADING DUST ALL OVER THE AREA. RESPONDENT CAUSED ALLOWED DUST FROM BRICK CUTTING TO BECOME WINDBOURNE AND TO MIGRATE OFF THE WORK SITE. RESPONDENT CAUSED AND ALLOWED A NUISANCE IN CONNECTION WITH IMPROPER HANDLING OF BRICK CUTTING CAUSING DUST TO ACCUMULATE ON AREAS NEARBY.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP9503,Air Pollution Work Order,"2143 W 51ST PL, CHICAGO, IL",Back of the Yards,2143,,W,51ST,PL,137,04/30/2010,TITAN WRECKING                      CLEANLINESS/FENCE CONSTRUCTION SITE NOT SECURED. OBSERVED DEMOLITION ACTIVITY. WATER IN USE FOR DUST MINIMIZATION. RESPONDENT CAUSED OR ALLOWED CONSTRUCTION SITE OPERATIONS WITHOUT A CONTINUOUS CHAIN LINK FENCE. RESPONDENT CAUSED OR ALLOWED CONSTRUCTION OPERATIONS WITHOUT MESH NETTING ON ENTIRE LENGTH OF FENCE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP8862,Air Pollution Work Order,"2057 W 51ST ST, CHICAGO, IL",Back of the Yards,2057,,W,51ST,ST,85,06/07/2010,HENRY GARDUNIO HENRY                GRINDING DUST ALL OVER THE AREA NOT WATERING DOWN. PERMITS REQUIRED FOR GRINDING NO PERSON SHALL GRIND WITHOUT FIRST BEEN ISSUED A PERMIT. DUST MINIMIZATION PLAN MUST BE IN USE PRIOR TO WORK STARTED.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP35749,Air Pollution Work Order,"1319 E 52ND ST, CHICAGO, IL",Hyde Park,1319,,E,52ND,ST,81,08/25/2010,"FIVE T CONSTRUCTION                 CONSTRUCTION DUST FROM WORKERS THROWING DEBRIS FROM ROOF. ARRIVAL TO SITE I OBSERVED WORKERS THROWING ROOFING DEBRIS FROM THE ROOF OF THIS THIRD FLOOR STRUCTURE INTO A 'GROOT WASTE DUMPSTER' POSITIONED BELOW ON THE GROUND. NO CHUTE OR THE UTILIZATION OF BUCKETS OR OTHER CONTAINERS WAS BEING UTILIZED.D THE DROPPING OF THE DEBRIS INTO THE DUMPSTER CAUSED CLOUDS OF DUST, AND HEAVY DEPOSITS OF DUST ON VEHICLES AND OBJECTS IN THE IMMEDIATE AREAS. RESPONDENT SUPERVISOR WOJCIECH GRABOWSKI WAS ISSUED NOV FOR RELATED ORDINANCE OFFENSE(S) 7-28-500 AND 11040769 (A).",MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP5479,Air Pollution Work Order,"1450 E 55TH PL, CHICAGO, IL",Hyde Park,1450,,E,55TH,PL,81,01/21/2010,RESIDENTIAL BLDG.                   GAS ODORS IN COMPLAINANT APT. ARRIVED AS SCHEDULED MET WITH COMPLAINANT WHO SAID ODOR IN QUESTION WAS NOT APPARENT AT THIS TIME. ODOR IN QUESTION IS NOT A DOE ISSUE IS REPORTEDLY EMANATING FROM WITH COMPLAINANT WAS ADVISED TO WORK WITH THE BLDG MANAGEMENT TO RESOLVE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP6325,Air Pollution Work Order,"1642 E 55TH ST, CHICAGO, IL",Hyde Park,1642,,E,55TH,ST,81,02/25/2010,"SUBWAY                              EXHAUST FAN ODOR (FOOD). I WAS UNABLE TO CONTACT COMPLAINANT REGARDING SPECIFICS OF ODOR COMPLAINT. THIS ASSESSMENT OF THE PERIMETER AT GROUND LEVEL DETECED NO DISTINCT OR UNUSUAL ODOR. EMPLOYEE DEVIN SAID HE WAS UNAWARE OF ANY RELATED COMPLAINTS, BUT WILL INFORM FACILITY MANAGER OF MY VISIT.",MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP13775,Air Pollution Work Order,"2825 W 55TH ST, CHICAGO, IL",Gage Park,2825,,W,55TH,ST,122,07/12/2010,VERY STRONG ODORS COMING FROM SOUTH WEST CORNER OF ABOVE LOCATION. OBSERVED VERY STRONG ODORS COMING FROM A WALK IN FREEZER.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP9071,Air Pollution Work Order,"2101 W 59TH ST, CHICAGO, IL",West Englewood,2101,,W,59TH,ST,69,04/15/2010,CSX RAILROAD                        CALLER STATES THAT LOTSOF DUST COMING FROM ABOVE LOCATION. SPOKE WITH SITE MANAGER WHO STATED THAT WHEN THE WIND BLOWING WEST TO EAST DIRECTION CAUSING DUST.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP5309,Air Pollution Work Order,"1515 E 59TH ST, CHICAGO, IL",Hyde Park,1515,,E,59TH,ST,122,04/26/2010,"FREYSSINET, INC.                    CONSTRUCTION SITE SANDBLASTING CAUSING DUST ALL OVER THE AREA. RESPONDENT CAUSED A NUISANCE IN CONNECTION WITH A BUSINESS. ALSO SANDBLASTING WITHOUT A PERMIT.",MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP5582,Air Pollution Work Order,"1536 E 59TH ST, CHICAGO, IL",Hyde Park,1536,,E,59TH,ST,85,05/20/2010,CALLER STATES THAT WORKERS ARE TUCKPOINTING NO DUST CONTROL OR PROTECTION FOR PEDESTRIAN. NO WORKERS ON SITE AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP3187,Air Pollution Work Order,"1250 W 59TH ST, CHICAGO, IL",West Englewood,1250,,W,59TH,ST,122,06/01/2010,FIEGUEROA CONSTRUCTION              THERE IS SANDBLASTING GOING ON AT ABOVE LOCATION WITHOUT NETTING AND NOT BEING WATERED DOWN. OBSERVED INDIVIDUALS TUCKPOINTING AREAS OF THE WEST SIDE OF BLDG. NO GRINDING WAS SEEN OR SANBLASTING AT THIS TIME.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP2707,Air Pollution Work Order,"1224 W 63RD ST, CHICAGO, IL",West Englewood,1224,,W,63RD,ST,69,05/19/2010,OBSERVED WORKERS DIGGING OR EXCAVATING NEARBY THIS LOCATION. OBSERVED SMALL PILES OF CLEAN DIRT NEAR THIS LOCATION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP8182,Air Pollution Work Order,"201 E 70TH ST, CHICAGO, IL",Greater Grand Crossing,201,,E,70TH,ST,122,12/03/2010,RESIDENTIAL BLDG.                   TEARING DOWN BLDG CAUSING DUST ALL OVER THE AREA.  I SPOKE WITH THE OPERATOR ABOUTMINIMIZE THE DUST. DUE TO SUBFREEZING TEMPS WATER WAS NOT BEING USED.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP8828,Air Pollution Work Order,"2056 E 71ST ST, CHICAGO, IL",South Shore,2056,,E,71ST,ST,81,11/16/2010,JEFFERY FOODS                       FOUL ODORS. ARRIVAL TO SITE AND SUBSEQUENT INVESTIGATION DETERMINED COMPLAINANT WAS CONCERNED ABOUT ODOR INSIDE OF STORE. (SHE STATED POSSIBLY SPOILED MEAT). COMPLAINANT WAS ADVISED THAT DOE DOES NOT HANDLE THESE TYPE COMPLAINTS AND INSTRUCTED HER TO CONTACT THE CITY'S HEALTH AND CONSUMER SERVICES DEPARTMENTS.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP37611,Air Pollution Work Order,"315 E 75TH ST, CHICAGO, IL",Greater Grand Crossing,315,,E,75TH,ST,81,01/28/2010,LEM'S BBQ                           SMOKE AND ODORS COMING FROM FACILITY. MONITORING PERIOD DETECTED NO COOKING ODOR OR VISIBLE SMOKE EMPLOYEE ACKNOWLEDGED SOME SMOKE OCCURS WHEN PIT IS STOKED WITH WOOD EVERY FEW HOURS (HAD DONE SO APPRX 20 MINUTES PRIOR TO MY ARRIVAL).,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP9704,Air Pollution Work Order,"2120 E 75TH ST, CHICAGO, IL",South Shore,2120,,E,75TH,ST,81,02/11/2010,SECOND TIME AROUND                  USE OF WOOD BURNING STOVE CAUSING STRONG SMOKE ODORS. GROUND LEVEL PROPERTY IS A RESALE SHOP. NO ANSWER AT DOOR UNABLE TO DETECT SMOKE ODOR OR VISIBLE EMISSIONS RELATED TO THIS COMPLAINT.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
DOECOMP831,Air Pollution Work Order,"1035 E 75TH ST, CHICAGO, IL",Greater Grand Crossing,1035,,E,75TH,ST,81,06/14/2010,VACANT PROPERTY                     CLOUDS OF CONSTRUCTION DUST ALSO LATE NIGHT CONSTRUCTION. INVESTIGATION DETECTED NO SITE ACTIVITY AT THE TIME OF INSPECTION.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012,,,
